Month,Mean_Temprature
1901-01-31 00:00:00,17.99
1901-02-28 00:00:00,19.43
1901-03-31 00:00:00,23.49
1901-04-30 00:00:00,26.41
1901-05-31 00:00:00,28.28
1901-06-30 00:00:00,28.6
1901-07-31 00:00:00,27.49
1901-08-31 00:00:00,26.98
1901-09-30 00:00:00,26.26
1901-10-31 00:00:00,25.08
1901-11-30 00:00:00,21.73
1901-12-31 00:00:00,18.95
1902-01-31 00:00:00,19.0
1902-02-28 00:00:00,20.39
1902-03-31 00:00:00,24.1
1902-04-30 00:00:00,26.54
1902-05-31 00:00:00,28.68
1902-06-30 00:00:00,28.44
1902-07-31 00:00:00,27.29
1902-08-31 00:00:00,27.05
1902-09-30 00:00:00,25.95
1902-10-31 00:00:00,24.37
1902-11-30 00:00:00,21.33
1902-12-31 00:00:00,18.78
1903-01-31 00:00:00,18.32
1903-02-28 00:00:00,19.79
1903-03-31 00:00:00,22.46
1903-04-30 00:00:00,26.03
1903-05-31 00:00:00,27.93
1903-06-30 00:00:00,28.41
1903-07-31 00:00:00,28.04
1903-08-31 00:00:00,26.63
1903-09-30 00:00:00,26.34
1903-10-31 00:00:00,24.57
1903-11-30 00:00:00,20.96
1903-12-31 00:00:00,18.29
1904-01-31 00:00:00,17.77
1904-02-29 00:00:00,19.39
1904-03-31 00:00:00,22.95
1904-04-30 00:00:00,26.73
1904-05-31 00:00:00,27.83
1904-06-30 00:00:00,27.85
1904-07-31 00:00:00,26.84
1904-08-31 00:00:00,26.73
1904-09-30 00:00:00,25.84
1904-10-31 00:00:00,24.36
1904-11-30 00:00:00,21.07
1904-12-31 00:00:00,18.84
1905-01-31 00:00:00,17.4
1905-02-28 00:00:00,17.79
1905-03-31 00:00:00,21.78
1905-04-30 00:00:00,24.84
1905-05-31 00:00:00,28.32
1905-06-30 00:00:00,28.69
1905-07-31 00:00:00,27.67
1905-08-31 00:00:00,27.47
1905-09-30 00:00:00,26.29
1905-10-31 00:00:00,26.16
1905-11-30 00:00:00,22.07
1905-12-31 00:00:00,18.71
1906-01-31 00:00:00,17.5
1906-02-28 00:00:00,19.14
1906-03-31 00:00:00,22.21
1906-04-30 00:00:00,26.53
1906-05-31 00:00:00,29.06
1906-06-30 00:00:00,28.02
1906-07-31 00:00:00,27.46
1906-08-31 00:00:00,26.82
1906-09-30 00:00:00,26.23
1906-10-31 00:00:00,24.75
1906-11-30 00:00:00,21.93
1906-12-31 00:00:00,19.55
1907-01-31 00:00:00,19.27
1907-02-28 00:00:00,19.42
1907-03-31 00:00:00,22.03
1907-04-30 00:00:00,26.98
1907-05-31 00:00:00,27.52
1907-06-30 00:00:00,27.66
1907-07-31 00:00:00,27.28
1907-08-31 00:00:00,26.38
1907-09-30 00:00:00,26.26
1907-10-31 00:00:00,24.72
1907-11-30 00:00:00,22.11
1907-12-31 00:00:00,18.46
1908-01-31 00:00:00,18.35
1908-02-29 00:00:00,19.73
1908-03-31 00:00:00,22.93
1908-04-30 00:00:00,27.06
1908-05-31 00:00:00,28.07
1908-06-30 00:00:00,28.49
1908-07-31 00:00:00,27.16
1908-08-31 00:00:00,26.41
1908-09-30 00:00:00,25.74
1908-10-31 00:00:00,24.25
1908-11-30 00:00:00,21.06
1908-12-31 00:00:00,18.15
1909-01-31 00:00:00,17.79
1909-02-28 00:00:00,19.05
1909-03-31 00:00:00,23.4
1909-04-30 00:00:00,25.76
1909-05-31 00:00:00,27.97
1909-06-30 00:00:00,27.67
1909-07-31 00:00:00,26.56
1909-08-31 00:00:00,26.43
1909-09-30 00:00:00,25.47
1909-10-31 00:00:00,24.37
1909-11-30 00:00:00,22.01
1909-12-31 00:00:00,18.86
1910-01-31 00:00:00,18.14
1910-02-28 00:00:00,19.72
1910-03-31 00:00:00,22.9
1910-04-30 00:00:00,25.96
1910-05-31 00:00:00,28.36
1910-06-30 00:00:00,27.72
1910-07-31 00:00:00,26.93
1910-08-31 00:00:00,26.61
1910-09-30 00:00:00,25.98
1910-10-31 00:00:00,24.04
1910-11-30 00:00:00,20.72
1910-12-31 00:00:00,18.05
1911-01-31 00:00:00,18.52
1911-02-28 00:00:00,19.18
1911-03-31 00:00:00,22.05
1911-04-30 00:00:00,26.0
1911-05-31 00:00:00,28.55
1911-06-30 00:00:00,28.02
1911-07-31 00:00:00,27.44
1911-08-31 00:00:00,27.04
1911-09-30 00:00:00,26.22
1911-10-31 00:00:00,24.57
1911-11-30 00:00:00,21.1
1911-12-31 00:00:00,18.76
1912-01-31 00:00:00,18.6
1912-02-29 00:00:00,20.84
1912-03-31 00:00:00,22.93
1912-04-30 00:00:00,26.21
1912-05-31 00:00:00,28.3
1912-06-30 00:00:00,28.53
1912-07-31 00:00:00,27.49
1912-08-31 00:00:00,26.68
1912-09-30 00:00:00,25.81
1912-10-31 00:00:00,24.44
1912-11-30 00:00:00,21.0
1912-12-31 00:00:00,18.44
1913-01-31 00:00:00,18.2
1913-02-28 00:00:00,19.98
1913-03-31 00:00:00,22.15
1913-04-30 00:00:00,26.61
1913-05-31 00:00:00,27.95
1913-06-30 00:00:00,27.91
1913-07-31 00:00:00,27.0
1913-08-31 00:00:00,26.8
1913-09-30 00:00:00,26.02
1913-10-31 00:00:00,24.35
1913-11-30 00:00:00,20.92
1913-12-31 00:00:00,18.7
1914-01-31 00:00:00,18.96
1914-02-28 00:00:00,19.66
1914-03-31 00:00:00,22.63
1914-04-30 00:00:00,25.73
1914-05-31 00:00:00,28.24
1914-06-30 00:00:00,28.46
